IdFeedBack,Prediction
S01_Sess01_FB001,0.799529428371432
S01_Sess01_FB002,0.6248998589517978
S01_Sess01_FB003,0.7869387843583672
S01_Sess01_FB004,0.6858800245959005
S01_Sess01_FB005,0.771571644147779
S01_Sess01_FB006,0.7510597294577824
S01_Sess01_FB007,0.6672212176822815
S01_Sess01_FB008,0.7458178534362647
S01_Sess01_FB009,0.7191889207467834
S01_Sess01_FB010,0.6575808961286279
S01_Sess01_FB011,0.6684327666756223
S01_Sess01_FB012,0.6988598507198235
S01_Sess01_FB013,0.6928090929006737
S01_Sess01_FB014,0.8278004064865239
S01_Sess01_FB015,0.8063551963052122
S01_Sess01_FB016,0.6195853164534775
S01_Sess01_FB017,0.791176943812829
S01_Sess01_FB018,0.8806124186772444
S01_Sess01_FB019,0.7847165685220925
S01_Sess01_FB020,0.536104898776124
S01_Sess01_FB021,0.7024723109401558
S01_Sess01_FB022,0.8099060478099528
S01_Sess01_FB023,0.7117123545460109
S01_Sess01_FB024,0.7660412328875155
S01_Sess01_FB025,0.9450513208570444
S01_Sess01_FB026,0.7080597606977428
S01_Sess01_FB027,0.7931187237283794
S01_Sess01_FB028,0.5783134411322931
S01_Sess01_FB029,0.6387453304558618
S01_Sess01_FB030,0.8047547703979281
S01_Sess01_FB031,0.6212249933248766
S01_Sess01_FB032,0.7651208300291871
S01_Sess01_FB033,0.7199388293120565
S01_Sess01_FB034,0.7351877381639611
S01_Sess01_FB035,0.8785641320585116
S01_Sess01_FB036,0.6931962022048456
S01_Sess01_FB037,0.8674823256108833
S01_Sess01_FB038,0.83248160455745
S01_Sess01_FB039,0.6783877157265749
S01_Sess01_FB040,0.5006652191959332
S01_Sess01_FB041,0.736487595547384
S01_Sess01_FB042,0.6739254542611117
S01_Sess01_FB043,0.7543286565476837
S01_Sess01_FB044,0.4745272910463057
S01_Sess01_FB045,0.6962901352258651
S01_Sess01_FB046,0.8666465890577949
S01_Sess01_FB047,0.7127590540802391
S01_Sess01_FB048,0.7119773801670689
S01_Sess01_FB049,0.5083083283520401
S01_Sess01_FB050,0.627986327272396
S01_Sess01_FB051,0.753565105288815
S01_Sess01_FB052,0.7365018196006473
S01_Sess01_FB053,0.7164701005064646
S01_Sess01_FB054,0.7613033605129144
S01_Sess01_FB055,0.8066933622593614
S01_Sess01_FB056,0.6897639127098242
S01_Sess01_FB057,0.7777955647295623
S01_Sess01_FB058,0.700649374682131
S01_Sess01_FB059,0.682096362087055
S01_Sess01_FB060,0.8539535955484701
S01_Sess02_FB001,0.6067263076866279
S01_Sess02_FB002,0.6746200618656634
S01_Sess02_FB003,0.7163327300027157
S01_Sess02_FB004,0.7496427294392419
S01_Sess02_FB005,0.7357018330801733
S01_Sess02_FB006,0.6673230613712271
S01_Sess02_FB007,0.7467487639059706
S01_Sess02_FB008,0.737605332584129
S01_Sess02_FB009,0.7626427194646404
